make,model,year,price,miles,city,state,vin,trim,exterior_color,condition,engine,transmission,drive_train,fuel_type,body_type,doors,cylinders,horsepower,highway_mpg,city_mpg,car_age,miles_per_year,avg_price_model,price_vs_market,data_source
Volkswagen,Tiguan,2012,13796,105188,Mexico City,MX,SCRAPED2012411236,Premium,Silver,Fair,2.5L 4-Cylinder,CVT,FWD,Diesel,SUV,2,6,254,23,15,12,8765.666666666666,25830.10714285714,-12034.107142857141,scraping
Ford,Escape,2012,20648,26226,Mexico City,MX,SCRAPED2012751615,LX,Gray,Excellent,3.5L V6,CVT,AWD,Diesel,SUV,2,8,158,21,22,12,2185.5,29792.18181818182,-9144.18181818182,scraping
Toyota,Corolla,2011,16474,13987,Mexico City,MX,SCRAPED2011439317,EX,Blue,Excellent,2.0L Turbo,Automatic,AWD,Gasoline,SUV,2,4,303,34,22,13,1075.923076923077,22425.5,-5951.5,scraping
Toyota,RAV4,2011,5000,145368,Mexico City,MX,SCRAPED2011972874,Base,Red,Very Good,2.0L Turbo,CVT,FWD,Gasoline,SUV,2,8,156,21,16,13,11182.153846153846,25440.3,-20440.3,scraping
Nissan,Rogue,2010,6866,142605,Mexico City,MX,SCRAPED2010615940,Limited,Black,Good,2.5L 4-Cylinder,CVT,RWD,Diesel,SUV,2,8,309,31,22,14,10186.07142857143,24736.576923076922,-17870.576923076922,scraping
Ford,Mustang,2012,17855,89670,Mexico City,MX,SCRAPED2012875082,Limited,Red,Fair,2.0L Turbo,Automatic,AWD,Gasoline,Hatchback,2,4,171,33,22,12,7472.5,29431.11111111111,-11576.11111111111,scraping
Hyundai,Santa Fe,2010,7875,102744,Mexico City,MX,SCRAPED2010913304,Base,Blue,Good,2.5L 4-Cylinder,Automatic,AWD,Diesel,SUV,4,6,268,33,17,14,7338.857142857143,23741.354838709678,-15866.354838709678,scraping
Nissan,Pathfinder,2013,17342,88577,Mexico City,MX,SCRAPED2013238772,LX,Red,Very Good,2.5L 4-Cylinder,Manual,AWD,Gasoline,SUV,2,8,292,21,20,11,8052.454545454545,24422.72,-7080.720000000001,scraping
Hyundai,Sonata,2015,8065,123047,Mexico City,MX,SCRAPED2015866168,LX,Blue,Fair,2.0L Turbo,Automatic,FWD,Hybrid,Hatchback,2,8,312,28,17,9,13671.888888888889,27014.347826086956,-18949.347826086956,scraping
Nissan,Altima,2015,14538,110852,Mexico City,MX,SCRAPED2015937401,EX,Blue,Excellent,2.0L Turbo,CVT,RWD,Gasoline,SUV,4,8,266,21,21,9,12316.888888888889,24909.2,-10371.2,scraping
Nissan,Sentra,2011,17631,32135,Mexico City,MX,SCRAPED2011669743,Limited,Red,Good,3.5L V6,Automatic,AWD,Diesel,Truck,4,8,253,20,16,13,2471.923076923077,21778.217391304348,-4147.217391304348,scraping
Ford,Explorer,2014,24652,52533,Mexico City,MX,SCRAPED2014647359,Limited,White,Very Good,2.5L 4-Cylinder,Automatic,FWD,Gasoline,Truck,4,8,193,26,18,10,5253.3,28610.666666666668,-3958.666666666668,scraping
Mercedes-Benz,E-Class,2010,27918,17393,Mexico City,MX,SCRAPED2010208315,EX,White,Fair,2.0L Turbo,Automatic,FWD,Gasoline,Truck,4,4,347,30,22,14,1242.357142857143,46445.807692307695,-18527.807692307695,scraping
Volkswagen,Tiguan,2014,24204,105004,Mexico City,MX,SCRAPED2014944410,LX,Silver,Very Good,2.5L 4-Cylinder,Automatic,AWD,Diesel,Hatchback,2,4,202,31,21,10,10500.4,25830.10714285714,-1626.1071428571413,scraping
Audi,A6,2011,32359,69474,Mexico City,MX,SCRAPED2011563699,EX,Red,Excellent,2.0L Turbo,Automatic,AWD,Gasoline,Sedan,4,4,369,24,20,13,5344.153846153846,42394.47826086957,-10035.478260869568,scraping
Audi,A4,2010,28641,147805,Mexico City,MX,SCRAPED2010336120,Base,Silver,Excellent,2.5L 4-Cylinder,Automatic,AWD,Diesel,Truck,4,8,263,23,25,14,10557.5,43616.8,-14975.800000000003,scraping
Honda,CR-V,2015,21058,63197,Mexico City,MX,SCRAPED2015233756,EX,Blue,Excellent,3.0L Diesel,CVT,FWD,Hybrid,Truck,4,8,237,20,20,9,7021.888888888889,24872.04761904762,-3814.0476190476184,scraping
Chevrolet,Tahoe,2010,10696,33699,Mexico City,MX,SCRAPED2010375692,LX,Red,Excellent,3.0L Diesel,CVT,FWD,Gasoline,Sedan,4,6,155,29,16,14,2407.0714285714284,25317.0,-14621.0,scraping
Mercedes-Benz,C-Class,2013,39499,53972,Mexico City,MX,SCRAPED2013249233,Premium,Gray,Fair,3.5L V6,Manual,AWD,Diesel,Truck,4,4,241,34,19,11,4906.545454545455,42999.333333333336,-3500.3333333333358,scraping
Hyundai,Santa Fe,2013,18907,25692,Mexico City,MX,SCRAPED2013311126,Base,Silver,Excellent,2.0L Turbo,CVT,RWD,Gasoline,Sedan,2,8,180,23,23,11,2335.6363636363635,23741.354838709678,-4834.354838709678,scraping
Ford,Mustang,2011,14816,112286,Mexico City,MX,SCRAPED2011332070,EX,Red,Fair,2.0L Turbo,Manual,RWD,Diesel,Hatchback,2,8,197,22,23,13,8637.384615384615,29431.11111111111,-14615.11111111111,scraping
Chevrolet,Malibu,2014,28394,11340,Mexico City,MX,SCRAPED2014628272,EX,Blue,Fair,2.0L Turbo,CVT,RWD,Gasoline,Hatchback,2,8,204,31,15,10,1134.0,31844.458333333332,-3450.458333333332,scraping
Hyundai,Elantra,2012,12806,89087,Mexico City,MX,SCRAPED2012161303,Limited,Red,Excellent,3.5L V6,Manual,RWD,Diesel,SUV,2,4,375,27,19,12,7423.916666666667,24270.041666666668,-11464.041666666668,scraping
BMW,3 Series,2012,38239,35055,Mexico City,MX,SCRAPED2012677486,Base,Black,Good,2.0L Turbo,CVT,FWD,Gasoline,Hatchback,2,4,359,32,24,12,2921.25,45747.42857142857,-7508.4285714285725,scraping
Hyundai,Tucson,2015,20829,95797,Mexico City,MX,SCRAPED2015200344,EX,Red,Very Good,2.5L 4-Cylinder,CVT,AWD,Hybrid,SUV,4,4,360,30,25,9,10644.111111111111,23820.75,-2991.75,scraping
Volkswagen,Atlas,2012,12029,66919,Mexico City,MX,SCRAPED2012141682,Base,White,Fair,3.5L V6,Manual,AWD,Diesel,Truck,2,8,301,31,21,12,5576.583333333333,21952.809523809523,-9923.809523809523,scraping
Honda,Accord,2013,16786,107772,Mexico City,MX,SCRAPED2013623289,Premium,Red,Fair,2.0L Turbo,Manual,FWD,Diesel,Sedan,4,6,374,32,24,11,9797.454545454546,24268.2,-7482.200000000001,scraping
Kia,Sportage,2015,24175,83168,Mexico City,MX,SCRAPED2015170952,EX,Silver,Good,2.5L 4-Cylinder,Manual,FWD,Gasoline,SUV,2,8,352,26,24,9,9240.888888888889,25350.57894736842,-1175.57894736842,scraping
BMW,X5,2010,32814,57984,Mexico City,MX,SCRAPED2010871014,EX,Black,Very Good,2.5L 4-Cylinder,Automatic,RWD,Diesel,Hatchback,2,8,387,34,25,14,4141.714285714285,45377.85,-12563.849999999999,scraping
Chevrolet,Silverado,2014,25471,36281,Mexico City,MX,SCRAPED2014556473,Base,Red,Very Good,3.0L Diesel,Manual,AWD,Diesel,Sedan,2,6,155,25,23,10,3628.1,32194.0,-6723.0,scraping
Ford,Explorer,2014,19710,99139,Mexico City,MX,SCRAPED2014611652,EX,White,Good,3.5L V6,CVT,FWD,Diesel,Sedan,4,6,394,28,22,10,9913.9,28610.666666666668,-8900.666666666668,scraping
Ford,Explorer,2015,25761,41497,Mexico City,MX,SCRAPED2015134442,LX,Silver,Very Good,3.5L V6,Manual,RWD,Diesel,SUV,4,6,271,28,22,9,4610.777777777777,28610.666666666668,-2849.666666666668,scraping
Chevrolet,Silverado,2015,28640,106493,Mexico City,MX,SCRAPED2015618176,EX,Gray,Excellent,3.5L V6,Automatic,AWD,Hybrid,Hatchback,4,4,319,28,15,9,11832.555555555555,32194.0,-3554.0,scraping
Mercedes-Benz,GLE,2013,36365,73731,Mexico City,MX,SCRAPED2013694198,Base,Blue,Very Good,3.0L Diesel,CVT,FWD,Gasoline,Sedan,4,6,199,22,19,11,6702.818181818182,47390.76,-11025.760000000002,scraping
Hyundai,Tucson,2010,10812,98041,Mexico City,MX,SCRAPED2010296801,EX,Red,Very Good,2.0L Turbo,Automatic,FWD,Diesel,Hatchback,2,6,180,35,19,14,7002.928571428572,23820.75,-13008.75,scraping
Hyundai,Tucson,2013,12103,120413,Mexico City,MX,SCRAPED2013603324,Premium,Silver,Excellent,2.0L Turbo,Automatic,AWD,Gasoline,Sedan,2,8,366,25,24,11,10946.636363636364,23820.75,-11717.75,scraping
Ford,Explorer,2012,19785,96839,Mexico City,MX,SCRAPED2012934296,LX,Red,Fair,3.5L V6,CVT,RWD,Diesel,Truck,4,4,267,35,25,12,8069.916666666667,28610.666666666668,-8825.666666666668,scraping
Mercedes-Benz,E-Class,2013,40324,49497,Mexico City,MX,SCRAPED2013432780,EX,Blue,Good,2.0L Turbo,Automatic,AWD,Hybrid,Sedan,4,8,150,29,19,11,4499.727272727273,46445.807692307695,-6121.807692307695,scraping
Volkswagen,Jetta,2014,20429,53093,Mexico City,MX,SCRAPED2014242837,Limited,Gray,Good,3.0L Diesel,Manual,AWD,Gasoline,Truck,4,8,234,31,18,10,5309.3,24905.565217391304,-4476.565217391304,scraping
Mercedes-Benz,C-Class,2010,26375,119644,Mexico City,MX,SCRAPED2010312884,Premium,White,Good,3.0L Diesel,CVT,FWD,Gasoline,Truck,4,8,271,23,20,14,8546.0,42999.333333333336,-16624.333333333336,scraping
Toyota,Corolla,2015,20810,107791,Mexico City,MX,SCRAPED2015559510,Premium,Red,Fair,2.5L 4-Cylinder,Manual,RWD,Gasoline,SUV,4,6,288,30,25,9,11976.777777777777,22425.5,-1615.5,scraping
Ford,Explorer,2013,27255,42223,Mexico City,MX,SCRAPED2013803672,EX,Silver,Fair,3.5L V6,Manual,RWD,Hybrid,Truck,4,4,244,31,23,11,3838.4545454545455,28610.666666666668,-1355.6666666666679,scraping
BMW,3 Series,2010,34106,24890,Mexico City,MX,SCRAPED2010801501,EX,Black,Good,2.5L 4-Cylinder,Automatic,RWD,Diesel,Truck,4,4,366,20,18,14,1777.857142857143,45747.42857142857,-11641.428571428572,scraping
Toyota,RAV4,2015,18089,115520,Mexico City,MX,SCRAPED2015912533,LX,White,Excellent,2.0L Turbo,Automatic,FWD,Gasoline,SUV,4,8,218,28,16,9,12835.555555555555,25440.3,-7351.299999999999,scraping
Toyota,Corolla,2010,6663,102428,Mexico City,MX,SCRAPED2010870804,LX,Blue,Excellent,3.5L V6,CVT,FWD,Hybrid,Sedan,2,6,167,25,18,14,7316.285714285715,22425.5,-15762.5,scraping
Audi,Q7,2014,38906,134321,Mexico City,MX,SCRAPED2014356777,Limited,Gray,Excellent,3.5L V6,CVT,RWD,Hybrid,SUV,4,6,394,25,18,10,13432.1,43610.3,-4704.300000000003,scraping
BMW,3 Series,2011,33731,46699,Mexico City,MX,SCRAPED2011323586,Base,Silver,Good,3.0L Diesel,CVT,AWD,Diesel,Hatchback,4,8,322,35,23,13,3592.230769230769,45747.42857142857,-12016.428571428572,scraping
Chevrolet,Silverado,2014,26324,65322,Mexico City,MX,SCRAPED2014659350,EX,White,Fair,2.5L 4-Cylinder,Manual,FWD,Hybrid,Sedan,4,4,373,24,20,10,6532.2,32194.0,-5870.0,scraping
Kia,Sorento,2013,23802,72242,Mexico City,MX,SCRAPED2013241641,Limited,Gray,Good,3.0L Diesel,CVT,FWD,Gasoline,Hatchback,2,4,357,29,18,11,6567.454545454545,23563.17391304348,238.82608695652016,scraping
Chevrolet,Silverado,2014,17418,130247,Mexico City,MX,SCRAPED2014500383,EX,Black,Very Good,2.5L 4-Cylinder,Automatic,FWD,Diesel,Hatchback,4,4,232,27,24,10,13024.7,32194.0,-14776.0,scraping
Volkswagen,Atlas,2014,19808,49629,Mexico City,MX,SCRAPED2014242354,Premium,Black,Fair,3.0L Diesel,Automatic,FWD,Gasoline,Hatchback,4,4,390,34,22,10,4962.9,21952.809523809523,-2144.809523809523,scraping
Audi,A4,2012,36579,104843,Mexico City,MX,SCRAPED2012111266,LX,White,Very Good,2.5L 4-Cylinder,Manual,RWD,Hybrid,Truck,2,4,241,24,21,12,8736.916666666666,43616.8,-7037.800000000003,scraping
Chevrolet,Malibu,2012,20109,135341,Mexico City,MX,SCRAPED2012568700,Limited,White,Fair,3.0L Diesel,Automatic,RWD,Hybrid,Sedan,4,6,333,28,16,12,11278.416666666666,31844.458333333332,-11735.458333333332,scraping
Volkswagen,Atlas,2011,15963,14981,Mexico City,MX,SCRAPED2011471749,Premium,Blue,Fair,3.5L V6,Automatic,RWD,Gasoline,SUV,2,8,187,24,21,13,1152.3846153846155,21952.809523809523,-5989.809523809523,scraping
Chevrolet,Silverado,2015,25999,144192,Mexico City,MX,SCRAPED2015881858,Premium,Black,Very Good,3.5L V6,Manual,FWD,Gasoline,Hatchback,2,6,369,28,23,9,16021.333333333334,32194.0,-6195.0,scraping
Hyundai,Tucson,2010,7526,148520,Mexico City,MX,SCRAPED2010774133,Base,Black,Very Good,2.0L Turbo,Manual,AWD,Hybrid,Hatchback,2,6,283,24,21,14,10608.57142857143,23820.75,-16294.75,scraping
Volkswagen,Passat,2013,14547,128653,Mexico City,MX,SCRAPED2013711082,Base,Black,Very Good,2.0L Turbo,Automatic,AWD,Gasoline,Sedan,2,8,168,32,22,11,11695.727272727272,25221.53846153846,-10674.538461538461,scraping
BMW,X3,2011,35451,30894,Mexico City,MX,SCRAPED2011500933,EX,Black,Good,3.5L V6,Automatic,FWD,Hybrid,Hatchback,2,8,317,33,25,13,2376.4615384615386,47162.681818181816,-11711.681818181816,scraping
Toyota,Highlander,2011,10158,117831,Mexico City,MX,SCRAPED2011478338,EX,Red,Fair,2.5L 4-Cylinder,CVT,FWD,Diesel,Truck,4,8,277,28,18,13,9063.923076923076,23365.428571428572,-13207.428571428572,scraping
Ford,Mustang,2015,28934,59766,Mexico City,MX,SCRAPED2015132149,LX,Black,Good,2.0L Turbo,Automatic,AWD,Hybrid,SUV,4,6,176,20,19,9,6640.666666666667,29431.11111111111,-497.1111111111095,scraping
Honda,Accord,2014,14922,64673,Mexico City,MX,SCRAPED2014150531,Premium,Black,Excellent,2.0L Turbo,Automatic,RWD,Diesel,Hatchback,4,4,303,21,16,10,6467.3,24268.2,-9346.2,scraping
Ford,F-150,2012,19825,66413,Mexico City,MX,SCRAPED2012203209,Premium,Red,Good,2.0L Turbo,CVT,AWD,Gasoline,Sedan,4,8,191,34,16,12,5534.416666666667,29563.739130434784,-9738.739130434784,scraping
Hyundai,Tucson,2011,16356,30462,Mexico City,MX,SCRAPED2011455999,Premium,Silver,Very Good,3.0L Diesel,CVT,FWD,Hybrid,Truck,4,6,200,21,24,13,2343.230769230769,23820.75,-7464.75,scraping
Kia,Optima,2013,15218,20605,Mexico City,MX,SCRAPED2013998627,Base,Blue,Good,3.0L Diesel,Manual,RWD,Hybrid,Truck,2,6,265,28,23,11,1873.1818181818182,23576.82608695652,-8358.82608695652,scraping
Honda,Pilot,2010,8128,84726,Mexico City,MX,SCRAPED2010953286,Base,Blue,Good,2.0L Turbo,Manual,RWD,Hybrid,Sedan,4,8,210,31,16,14,6051.857142857143,20042.933333333334,-11914.933333333334,scraping
Kia,Sportage,2013,17355,44796,Mexico City,MX,SCRAPED2013495052,LX,Black,Fair,3.0L Diesel,CVT,RWD,Gasoline,Sedan,4,8,289,35,20,11,4072.3636363636365,25350.57894736842,-7995.57894736842,scraping
Kia,Optima,2013,17360,48748,Mexico City,MX,SCRAPED2013832953,Limited,Silver,Very Good,2.5L 4-Cylinder,CVT,RWD,Diesel,Sedan,4,4,301,25,17,11,4431.636363636364,23576.82608695652,-6216.82608695652,scraping
Audi,Q5,2010,27113,136732,Mexico City,MX,SCRAPED2010284187,Premium,White,Fair,3.0L Diesel,Manual,RWD,Diesel,Hatchback,4,4,251,29,17,14,9766.57142857143,45476.92307692308,-18363.923076923078,scraping
Mercedes-Benz,GLE,2015,41131,112524,Mexico City,MX,SCRAPED2015625661,Base,Red,Good,3.0L Diesel,Manual,AWD,Hybrid,Hatchback,4,4,156,24,18,9,12502.666666666666,47390.76,-6259.760000000002,scraping
Kia,Optima,2010,5571,134972,Mexico City,MX,SCRAPED2010753670,Premium,Silver,Very Good,3.0L Diesel,Manual,FWD,Diesel,SUV,4,4,204,35,17,14,9640.857142857143,23576.82608695652,-18005.82608695652,scraping
Ford,Escape,2013,19841,125755,Mexico City,MX,SCRAPED2013663027,Limited,Red,Very Good,2.5L 4-Cylinder,Automatic,FWD,Diesel,Sedan,2,8,383,23,19,11,11432.272727272728,29792.18181818182,-9951.18181818182,scraping
Audi,Q5,2013,40399,21657,Mexico City,MX,SCRAPED2013777967,Premium,Silver,Very Good,3.5L V6,Automatic,AWD,Diesel,Sedan,2,8,157,20,24,11,1968.8181818181818,45476.92307692308,-5077.923076923078,scraping
Volkswagen,Passat,2013,21149,42392,Mexico City,MX,SCRAPED2013287710,Base,Gray,Good,2.0L Turbo,Automatic,FWD,Diesel,Hatchback,4,8,298,35,16,11,3853.818181818182,25221.53846153846,-4072.538461538461,scraping
Chevrolet,Tahoe,2011,16451,129373,Mexico City,MX,SCRAPED2011325180,Limited,Gray,Excellent,3.5L V6,Manual,RWD,Diesel,Truck,2,6,351,27,21,13,9951.76923076923,25317.0,-8866.0,scraping
Ford,Explorer,2010,13674,22739,Mexico City,MX,SCRAPED2010160558,Base,Gray,Very Good,3.0L Diesel,Automatic,FWD,Gasoline,Truck,2,8,313,34,18,14,1624.2142857142858,28610.666666666668,-14936.666666666668,scraping
Toyota,Highlander,2010,5316,143128,Mexico City,MX,SCRAPED2010896830,Base,Gray,Good,3.0L Diesel,Manual,AWD,Hybrid,Hatchback,4,6,202,20,16,14,10223.42857142857,23365.428571428572,-18049.428571428572,scraping
Chevrolet,Malibu,2013,28075,66182,Mexico City,MX,SCRAPED2013842513,EX,Gray,Good,2.0L Turbo,Manual,FWD,Gasoline,Hatchback,4,4,327,21,18,11,6016.545454545455,31844.458333333332,-3769.458333333332,scraping
Nissan,Altima,2012,19211,108862,Mexico City,MX,SCRAPED2012405239,Limited,Gray,Good,2.0L Turbo,Automatic,RWD,Diesel,Hatchback,2,6,216,31,23,12,9071.833333333334,24909.2,-5698.200000000001,scraping
Nissan,Rogue,2015,20208,96991,Mexico City,MX,SCRAPED2015168945,Premium,Blue,Fair,2.5L 4-Cylinder,CVT,RWD,Gasoline,Truck,2,6,380,30,25,9,10776.777777777777,24736.576923076922,-4528.576923076922,scraping
Mercedes-Benz,E-Class,2015,40365,141176,Mexico City,MX,SCRAPED2015841828,EX,Blue,Very Good,2.5L 4-Cylinder,CVT,RWD,Diesel,Sedan,4,6,301,21,17,9,15686.222222222223,46445.807692307695,-6080.807692307695,scraping
Honda,Pilot,2010,7609,90880,Mexico City,MX,SCRAPED2010203207,LX,Gray,Good,3.5L V6,Manual,AWD,Hybrid,SUV,2,4,181,21,19,14,6491.428571428572,20042.933333333334,-12433.933333333334,scraping
Ford,F-150,2014,24074,39817,Mexico City,MX,SCRAPED2014334069,Premium,Gray,Very Good,3.0L Diesel,CVT,RWD,Gasoline,Hatchback,4,4,392,35,19,10,3981.7,29563.739130434784,-5489.739130434784,scraping
Ford,Explorer,2014,24073,65592,Mexico City,MX,SCRAPED2014207854,Premium,Silver,Fair,3.0L Diesel,Manual,FWD,Gasoline,Sedan,2,4,200,30,17,10,6559.2,28610.666666666668,-4537.666666666668,scraping
Mercedes-Benz,GLE,2011,36067,62461,Mexico City,MX,SCRAPED2011173798,EX,Black,Very Good,2.5L 4-Cylinder,Manual,FWD,Hybrid,SUV,2,4,225,22,15,13,4804.692307692308,47390.76,-11323.760000000002,scraping
Ford,F-150,2012,12749,122849,Mexico City,MX,SCRAPED2012874256,Premium,Gray,Fair,3.0L Diesel,CVT,FWD,Gasoline,Sedan,4,6,186,26,18,12,10237.416666666666,29563.739130434784,-16814.739130434784,scraping
BMW,X5,2014,40595,74714,Mexico City,MX,SCRAPED2014946066,EX,Silver,Excellent,3.0L Diesel,Automatic,FWD,Hybrid,Hatchback,4,4,393,21,25,10,7471.4,45377.85,-4782.8499999999985,scraping
Volkswagen,Atlas,2014,18069,88422,Mexico City,MX,SCRAPED2014472750,Base,Gray,Good,3.0L Diesel,Automatic,FWD,Hybrid,Sedan,2,8,329,26,19,10,8842.2,21952.809523809523,-3883.809523809523,scraping
Nissan,Pathfinder,2014,14959,89200,Mexico City,MX,SCRAPED2014148735,Limited,White,Good,3.5L V6,Automatic,FWD,Gasoline,Hatchback,2,4,364,23,15,10,8920.0,24422.72,-9463.720000000001,scraping
Volkswagen,Tiguan,2010,15764,42015,Mexico City,MX,SCRAPED2010874096,Limited,Gray,Fair,3.5L V6,Manual,AWD,Hybrid,Sedan,4,8,202,34,21,14,3001.0714285714284,25830.10714285714,-10066.107142857141,scraping
Nissan,Rogue,2012,8143,120729,Mexico City,MX,SCRAPED2012600621,LX,Black,Very Good,2.5L 4-Cylinder,Automatic,AWD,Hybrid,Sedan,4,4,348,33,21,12,10060.75,24736.576923076922,-16593.576923076922,scraping
Chevrolet,Tahoe,2010,16089,28343,Mexico City,MX,SCRAPED2010845485,EX,Gray,Good,3.5L V6,Automatic,FWD,Gasoline,Truck,4,4,303,33,21,14,2024.5,25317.0,-9228.0,scraping
Hyundai,Santa Fe,2011,14750,76296,Mexico City,MX,SCRAPED2011851651,Base,Silver,Very Good,3.0L Diesel,Manual,AWD,Diesel,SUV,4,6,299,28,16,13,5868.923076923077,23741.354838709678,-8991.354838709678,scraping
Nissan,Pathfinder,2015,24697,42605,Mexico City,MX,SCRAPED2015632279,LX,White,Fair,2.0L Turbo,Automatic,AWD,Hybrid,SUV,4,8,362,31,16,9,4733.888888888889,24422.72,274.27999999999884,scraping
Toyota,Camry,2012,14647,69863,Mexico City,MX,SCRAPED2012974045,Base,Black,Good,2.5L 4-Cylinder,CVT,RWD,Diesel,Truck,2,4,326,26,16,12,5821.916666666667,23331.285714285714,-8684.285714285714,scraping
Toyota,RAV4,2014,26860,80889,Mexico City,MX,SCRAPED2014167522,EX,Red,Good,2.0L Turbo,Manual,RWD,Gasoline,Hatchback,2,8,270,35,18,10,8088.9,25440.3,1419.7000000000007,scraping
Hyundai,Sonata,2015,24746,51991,Mexico City,MX,SCRAPED2015540672,Base,Gray,Fair,3.0L Diesel,Manual,FWD,Diesel,Truck,4,4,386,27,15,9,5776.777777777777,27014.347826086956,-2268.347826086956,scraping
Nissan,Rogue,2016,26794,23178,Mexico City,MX,SCRAPED2016151584,Premium,White,Excellent,3.5L V6,CVT,RWD,Diesel,Truck,2,6,232,31,19,8,2897.25,24736.576923076922,2057.423076923078,scraping
Toyota,RAV4,2016,20620,46999,Mexico City,MX,SCRAPED2016287971,Base,Blue,Good,3.0L Diesel,Automatic,FWD,Hybrid,Hatchback,4,6,292,24,15,8,5874.875,25440.3,-4820.299999999999,scraping
Ford,Mustang,2018,28362,120478,Mexico City,MX,SCRAPED2018187838,Limited,Black,Excellent,3.0L Diesel,Automatic,RWD,Hybrid,SUV,2,4,317,35,20,6,20079.666666666668,29431.11111111111,-1069.1111111111095,scraping
Honda,Accord,2017,29859,21175,Mexico City,MX,SCRAPED2017548469,Premium,Black,Excellent,3.0L Diesel,Manual,FWD,Diesel,Sedan,2,6,234,29,25,7,3025.0,24268.2,5590.799999999999,scraping
Honda,Accord,2016,16754,146774,Mexico City,MX,SCRAPED2016538564,Limited,Black,Fair,2.0L Turbo,Manual,AWD,Diesel,SUV,2,6,189,29,20,8,18346.75,24268.2,-7514.200000000001,scraping
Audi,A6,2016,38151,102836,Mexico City,MX,SCRAPED2016199058,Base,Red,Excellent,2.5L 4-Cylinder,Automatic,AWD,Gasoline,Truck,4,4,165,30,22,8,12854.5,42394.47826086957,-4243.478260869568,scraping
Nissan,Rogue,2016,23094,120637,Mexico City,MX,SCRAPED2016803658,Base,Black,Very Good,3.0L Diesel,Manual,RWD,Hybrid,SUV,4,4,177,22,18,8,15079.625,24736.576923076922,-1642.576923076922,scraping
Hyundai,Elantra,2016,26671,86839,Mexico City,MX,SCRAPED2016284384,LX,Black,Excellent,3.0L Diesel,CVT,FWD,Gasoline,SUV,2,8,216,26,16,8,10854.875,24270.041666666668,2400.958333333332,scraping
